Codigo Proyecto;Warning;Dif de avance;Estado;Cockpit;Mercado;3 Horizontes;Focos de Gerencia de Innovación;Focos de Innovación de Entel;Proyectos;Actividades;Categorias de innovación;Avance de Actividad %;Prioridad;Fecha de Proyecto;Responsable;Lidera;Equipo;Rol E&I;Comentario;
43;80%;0;En Desarrollo;NO;;Experiencia Superior;Apoyar la Innovación Base;MT9 Mejor Experiencia;Vodafone;Contingencia Servicio Impuestos Internos;SA. Base;80%;Alta;19-04-16;VC;VC;;;Certificado del HMRC en viado por vodafone en validacion de entel.;
44;38%;0;En Desarrollo;NO;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Viajes Roaming;;SA. Base;38%;Media;19-04-16;;;;;;
45;75%;0;En Desarrollo;NO;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Desarrollo viaje Roaming;Desarrollo viaje Roaming;SA. Base;75%;Media;19-04-16;;;;;;
46;0%;0;No Comenzado;NO;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Recarga estrategia integral;Recarga estrategia integral;SA. Base;0%;Media;19-04-16;;;;;;
47;0%;0;No Comenzado;NO;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Propuesta valor empleo;;SA. Base;0%;Media;19-04-16;;;;;;
48;1%;-126;En Desarrollo;NO;;Evolutiva;Apoyar la Innovación Base;MT2 Empresa Digital;Enterprise & Corp Engagement;Solución convergente empresas;SA. Base;10%;Media;15-12-15;VC;;;Seguimiento;Presentación a MN realizada. A la espera de propuesta de trabajo detallada para el 15 de Diciembre.;
49;10%;0;En Desarrollo;NO;;Evolutiva;Apoyar la Innovación Base;MT2 Empresa Digital;Enterprise & Corp Engagement;Red VGE Assessment;SA. Base;10%;Media;19-04-16;VC;;;Seguimiento;WS realizado. Solo falta realizar call de follow up business case red VGE;
50;100%;0;Terminado;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Innovación Social;Alineamiento Estrategia post Organización +2015;e)Makers;100%;Media;19-04-16;JM;NK;;Seguimiento;Se alinearan las acciones de acuerdo a los output de la Fase II;
51;70%;0;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Innovación Social;Traspaso RU Emprende;e)Makers;70%;Media;19-04-16;JM;NK;;Seguimiento;Iniciado, Ongoing, un poco atrazado;
52;70%;0;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Innovación Social;Biblioteca Digital;e)Makers;70%;Media;19-04-16;JM;NK;;Seguimiento;En revision de acuerdo al alineamiento anterior;
53;1%;-42479;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Innovación Social;Mujer Emprende;e)Makers;10%;Media;;JM;;;Seguimiento;Definiciones ;
54;100%;0;Terminado;NO;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Personalización Own;;SA. Base;100%;Baja;19-04-16;;;;;defnir si sigue ;
55;90%;0;En Desarrollo;NO;;Evolutiva;Apoyar la Innovación Base;MT2 Empresa Digital;Red Social - Piloto VP Empresas;;SA. Base;90%;Media;19-04-16;;;;;Valorización y cuantificación de los beneficios de la plataforma ;
56;0%;0;No Comenzado;No;;Experiencia Superior;Apoyar la Innovación Base;MT9 Mejor Experiencia;Innovar en el modelo Outsoursng;;SA. Base;0%;Media;19-04-16;;;;;Evaluar capacity;
57;70%;0;En Desarrollo;SI;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Innovator Academy;;e)Makers;70%;Alta;19-04-16;JM;NK;;Seguimiento;Curso E-learning con certificación internacional - En desarrollo;
58;1%;-202;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;1°Desafio Emakers;;e)Makers;13%;Media;30-09-15;JM;NK;;Liderazgo;presentación el 30 de septiembre;
59;80%;0;En Desarrollo;NO;;Trasformacional;Impulsar la Innovación Frontera;MT7 Evolucion del contenido; Servicio Tecnico (1° EMAKERS);Servicio Tecnico;e)Makers;80%;Media;19-04-16;;;;;Aceleración Bomba;
60;;;En Desarrollo;;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Iniciativas de marca;SMS-SOS;SA. Base;5%;Alta;31-03-16;AC;JMC;;Liderazgo;;
61;;;En Desarrollo;;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Iniciativas de marca;Vendomatica;SA. Base;5%;Alta;31-03-16;AC;JMC;;Liderazgo;;
62;;;No Comenzado;;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Iniciativas de marca;Metro;SA. Base;0%;Alta;31-03-16;AC;JMC;;Liderazgo;;
63;;;En Desarrollo;;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Iniciativas de marca;Localizacion y seguridad;SA. Base;5%;Alta;31-03-16;AC;JMC;;Liderazgo;;
64;;;En Desarrollo;;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Iniciativas de marca;Traductor Skype;SA. Base;5%;Alta;31-03-16;AC;JMC;;Liderazgo;;
65;;;En Desarrollo;;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Iniciativas de marca;Drones;SA. Base;5%;Alta;31-03-16;AC;JMC;;Liderazgo;;
66;;;En Desarrollo;;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Iniciativas de marca;Tomarse el parque;SA. Base;5%;Alta;31-03-16;AC;JMC;;Liderazgo;;
67;;;En Desarrollo;;;Evolutiva;Apoyar la Innovación Base;MT1 Persona Digital;Iniciativas de marca;Burger King Beacons;SA. Base;5%;Alta;31-03-16;AC;JMC;;Seguimiento;;
