Codigo Proyecto;Warning;Dif de avance;Estado;Cockpit;Mercado;3 Horizontes;Focos de Gerencia de Innovación;Focos de Innovación de Entel;Proyectos;Actividades;Categorias de innovación;Avance de Actividad %;Prioridad;Fecha de Proyecto;Responsable;Lidera;Equipo;Rol E&I;Comentario;
1;1%;-168;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Penta Lean;;Labs;75%;Alta;10-11-15;;;;;;
2;1%;-224;Terminado;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Aceleramiento idea servicios;Aceleramiento idea servicios;Labs;100%;Media;15-09-15;;;;;Trabajo con Bombacamp;
3;1%;-224;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Validación Aplicación;Validación Aplicación;Labs;50%;Media;15-09-15;;;;;CX+BOMBA   15 de semptiembre presentacion final;
4;5%;248;En Desarrollo;SI;;Transformacional;Impulsar la Innovación Frontera;MT5 Big Data;Big data Analitics;Big data Analitics;SA. Frontera;5%;Alta;30-12-16;;;;;;
5;1%;-238;En Desarrollo;NO;;Transformacional;Impulsar la Innovación Frontera;MT5 Big Data;Big data Analitics;Desarrollo Estrategia BIG Data uso Interno;SA. Frontera;15%;Alta;01-09-15;;;;;;
6;5%;248;En Desarrollo;NO;;Transformacional;Impulsar la Innovación Frontera;MT5 Big Data;Big data Analitics;Casos Internos (Churn, CVM, Tiendas);SA. Frontera;5%;Alta;30-12-16;AC;ED;SF;Liderazgo;Levantamiento de los casos de uso interno, levantamiento de las inversiones, coordinacion con redes, sistemas y TD. Comité de inversiones, Aprovado comité de inversion, enviar a rodrigo detalle de inversiones, abrir las cuentas de inv. Ppt Gobierno. cerrar con proveedor;
7;5%;248;En Desarrollo;SI;;Transformacional;Impulsar la Innovación Frontera;MT5 Big Data;Big data Analitics;Casos Externos;SA. Frontera;5%;Alta;30-12-16;AC;ED;SF;Seguimiento;;
8;;65;No Comenzado;SI;;Transformacional;Impulsar la Innovación Frontera;MT5 Big Data;Big data Analitics;Definir Gobernance;SA. Frontera;0%;Alta;30-06-16;AC;VC;;Seguimiento;;
9;1%;-238;No Comenzado;NO;;Transformacional;Impulsar la Innovación Frontera;MT5 Big Data;Big data Analitics;Desarrollo Estrategia BIG Data Clientes;SA. Frontera;0%;Alta;01-09-15;;;;;;
